,TopoGAT,GAT
accuracy,0.5725 ± 0.0505,0.5326 ± 0.0678
precision,0.5772 ± 0.0814,0.5070 ± 0.1005
recall,0.5473 ± 0.0412,0.5198 ± 0.0520
f1,0.5138 ± 0.0556,0.4822 ± 0.0799
roc_auc,0.5700 ± 0.0635,0.5220 ± 0.0599
log_loss,0.7922 ± 0.1195,0.9974 ± 0.2121
