,TopoGAT,GAT
accuracy,0.5754 ± 0.0477,0.5406 ± 0.0576
precision,0.5923 ± 0.0838,0.5576 ± 0.1135
recall,0.5541 ± 0.0441,0.5118 ± 0.0395
f1,0.5196 ± 0.0565,0.4467 ± 0.0578
roc_auc,0.5756 ± 0.0713,0.5502 ± 0.0641
log_loss,0.7741 ± 0.1194,0.6950 ± 0.0351
