,mean,std,summary
accuracy,0.5405797101449276,0.05760755627348345,0.5406 ± 0.0576
precision,0.5576330448764739,0.11350597448188662,0.5576 ± 0.1135
recall,0.5117749403770521,0.0394540402898915,0.5118 ± 0.0395
f1,0.4466648649434867,0.057795307134155344,0.4467 ± 0.0578
roc_auc,0.5502485565891133,0.06408353101959867,0.5502 ± 0.0641
log_loss,0.6949712070912375,0.03506343618063354,0.6950 ± 0.0351
