,mean,std,summary
accuracy,0.6434977578475337,0.02419250848980304,0.6435 ± 0.0242
precision,0.6159932142530048,0.08990476833311031,0.6160 ± 0.0899
recall,0.5780765282281585,0.03045836325015591,0.5781 ± 0.0305
f1,0.557681107567389,0.05331979069724792,0.5577 ± 0.0533
roc_auc,0.543855285568325,0.045209273012494965,0.5439 ± 0.0452
log_loss,0.6558720597240362,0.01571111847877526,0.6559 ± 0.0157
