,TopoGAT,GAT
accuracy,0.7101 ± 0.0232,0.6435 ± 0.0242
precision,0.7209 ± 0.0432,0.6160 ± 0.0899
recall,0.6547 ± 0.0323,0.5781 ± 0.0305
f1,0.6539 ± 0.0355,0.5577 ± 0.0533
roc_auc,0.6830 ± 0.0665,0.5439 ± 0.0452
log_loss,0.5907 ± 0.0277,0.6559 ± 0.0157
