,mean,std,summary
accuracy,0.7100896860986547,0.02319984940470298,0.7101 ± 0.0232
precision,0.7208672758052905,0.043162123200816555,0.7209 ± 0.0432
recall,0.6547150547734785,0.03227176673395874,0.6547 ± 0.0323
f1,0.6539318504338383,0.03547388572720154,0.6539 ± 0.0355
roc_auc,0.6830333282822487,0.06647742138936794,0.6830 ± 0.0665
log_loss,0.5907337631337323,0.02770740048494315,0.5907 ± 0.0277
