,mean,std,summary
accuracy,0.8236842105263158,0.06835709774678353,0.8237 ± 0.0684
precision,0.8149336787177051,0.07104707198864638,0.8149 ± 0.0710
recall,0.7964438397837231,0.08790827541001818,0.7964 ± 0.0879
f1,0.7931094089466602,0.08329894005427237,0.7931 ± 0.0833
roc_auc,0.9270195894510043,0.04420987968926402,0.9270 ± 0.0442
log_loss,0.36750744390695833,0.11994280224429658,0.3675 ± 0.1199
