,TopoGAT,GAT
accuracy,0.8053 ± 0.0618,0.8237 ± 0.0684
precision,0.8050 ± 0.0837,0.8149 ± 0.0710
recall,0.7587 ± 0.0814,0.7964 ± 0.0879
f1,0.7606 ± 0.0884,0.7931 ± 0.0833
roc_auc,0.9038 ± 0.0485,0.9270 ± 0.0442
log_loss,0.4009 ± 0.0968,0.3675 ± 0.1199
