,mean,std,summary
accuracy,0.8052631578947368,0.06180452090656839,0.8053 ± 0.0618
precision,0.8050121556087394,0.08369213169565158,0.8050 ± 0.0837
recall,0.7586839532875282,0.08141549625649364,0.7587 ± 0.0814
f1,0.7606027791908082,0.08837847832059109,0.7606 ± 0.0884
roc_auc,0.9037949995688332,0.048450934245825916,0.9038 ± 0.0485
log_loss,0.4009010691327555,0.09677394367032155,0.4009 ± 0.0968
