,mean,std,summary
accuracy,0.7035874439461883,0.02763928316986661,0.7036 ± 0.0276
precision,0.6895885699792763,0.038929190517158485,0.6896 ± 0.0389
recall,0.6721771733961901,0.03497640242461264,0.6722 ± 0.0350
f1,0.6743967269798391,0.03533954956716732,0.6744 ± 0.0353
roc_auc,0.718849471733884,0.0362349400544553,0.7188 ± 0.0362
log_loss,0.6075691996667675,0.023875237132058056,0.6076 ± 0.0239
