,TopoGAT,GAT
accuracy,0.7081 ± 0.0264,0.7036 ± 0.0276
precision,0.7190 ± 0.0447,0.6896 ± 0.0389
recall,0.6568 ± 0.0321,0.6722 ± 0.0350
f1,0.6554 ± 0.0375,0.6744 ± 0.0353
roc_auc,0.7104 ± 0.0389,0.7188 ± 0.0362
log_loss,0.5918 ± 0.0272,0.6076 ± 0.0239
