,mean,std,summary
accuracy,0.7080717488789238,0.026425577804261535,0.7081 ± 0.0264
precision,0.7190152424005354,0.04471898690388697,0.7190 ± 0.0447
recall,0.6567970601901323,0.032124156027693654,0.6568 ± 0.0321
f1,0.6553849858819946,0.03750518408587613,0.6554 ± 0.0375
roc_auc,0.7104320635578854,0.038901177108582735,0.7104 ± 0.0389
log_loss,0.5917969585808962,0.027156178004733515,0.5918 ± 0.0272
