,mean,std,summary
accuracy,0.25916666666666666,0.03735596118770483,0.2592 ± 0.0374
precision,0.2663712341991097,0.06786293759560619,0.2664 ± 0.0679
recall,0.26201061741453757,0.038969815310431456,0.2620 ± 0.0390
f1,0.22784085997648712,0.04135183097803556,0.2278 ± 0.0414
roc_auc,0.6161360089425989,0.023764166100357975,0.6161 ± 0.0238
log_loss,1.7703750358631243,0.06451693587940896,1.7704 ± 0.0645
