,TopoGAT,GAT
accuracy,0.2592 ± 0.0374,0.3204 ± 0.0385
precision,0.2664 ± 0.0679,0.3309 ± 0.0513
recall,0.2620 ± 0.0390,0.3231 ± 0.0346
f1,0.2278 ± 0.0414,0.3060 ± 0.0384
roc_auc,0.6161 ± 0.0238,0.6819 ± 0.0234
log_loss,1.7704 ± 0.0645,1.8019 ± 0.1288
