,mean,std,summary
accuracy,0.3204166666666667,0.038471813179998746,0.3204 ± 0.0385
precision,0.3309213431398292,0.0512765353638585,0.3309 ± 0.0513
recall,0.3230665114895068,0.034627457292554974,0.3231 ± 0.0346
f1,0.3059923864004638,0.038390598837735164,0.3060 ± 0.0384
roc_auc,0.68185743561165,0.023351196124434682,0.6819 ± 0.0234
log_loss,1.8019188335498977,0.12878435894416604,1.8019 ± 0.1288
