,mean,std,summary
accuracy,0.20166666666666666,0.03623348585322732,0.2017 ± 0.0362
precision,0.15018208023939458,0.06864506650848118,0.1502 ± 0.0686
recall,0.21914167256424796,0.0340648868007916,0.2191 ± 0.0341
f1,0.1436253506752287,0.032909456508302015,0.1436 ± 0.0329
roc_auc,0.5643618115513414,0.02072209939259524,0.5644 ± 0.0207
log_loss,1.7901356615832018,0.037969513546200866,1.7901 ± 0.0380
