,TopoGAT,GAT
accuracy,0.2738 ± 0.0371,0.2017 ± 0.0362
precision,0.2873 ± 0.0531,0.1502 ± 0.0686
recall,0.2787 ± 0.0340,0.2191 ± 0.0341
f1,0.2486 ± 0.0357,0.1436 ± 0.0329
roc_auc,0.6293 ± 0.0261,0.5644 ± 0.0207
log_loss,1.7470 ± 0.0580,1.7901 ± 0.0380
