,mean,std,summary
accuracy,0.7047085201793722,0.033723423055214544,0.7047 ± 0.0337
precision,0.717772259583006,0.048297863180230514,0.7178 ± 0.0483
recall,0.6528571786292358,0.032433030126130406,0.6529 ± 0.0324
f1,0.6503822889219014,0.03922757907253919,0.6504 ± 0.0392
roc_auc,0.7114961295814972,0.039844885489949335,0.7115 ± 0.0398
log_loss,0.5924805696769544,0.030311290587842325,0.5925 ± 0.0303
