,TopoGAT,GAT
accuracy,0.7047 ± 0.0337,0.6475 ± 0.0250
precision,0.7178 ± 0.0483,0.6394 ± 0.0566
recall,0.6529 ± 0.0324,0.5816 ± 0.0281
f1,0.6504 ± 0.0392,0.5654 ± 0.0345
roc_auc,0.7115 ± 0.0398,0.5453 ± 0.0425
log_loss,0.5925 ± 0.0303,0.6547 ± 0.0132
