,mean,std,summary
accuracy,0.5731884057971015,0.055131647511728464,0.5732 ± 0.0551
precision,0.5763371710790834,0.06878663679953582,0.5763 ± 0.0688
recall,0.5488856401628988,0.04103026680260449,0.5489 ± 0.0410
f1,0.5180932503605046,0.05341848775942899,0.5181 ± 0.0534
roc_auc,0.5670923278588662,0.0599888309493377,0.5671 ± 0.0600
log_loss,0.7889254286084441,0.11820131671232623,0.7889 ± 0.1182
