,TopoGAT,GAT
accuracy,0.5732 ± 0.0551,0.5442 ± 0.0499
precision,0.5763 ± 0.0688,0.5778 ± 0.1051
recall,0.5489 ± 0.0410,0.5199 ± 0.0337
f1,0.5181 ± 0.0534,0.4566 ± 0.0588
roc_auc,0.5671 ± 0.0600,0.5516 ± 0.0692
log_loss,0.7889 ± 0.1182,0.6977 ± 0.0405
