,mean,std,summary
accuracy,0.22875000000000006,0.03941040249174581,0.2288 ± 0.0394
precision,0.19952627763365252,0.050939185829253886,0.1995 ± 0.0509
recall,0.23781046623142627,0.02884708146122278,0.2378 ± 0.0288
f1,0.18154110007870242,0.039595362412211677,0.1815 ± 0.0396
roc_auc,0.5885435907812824,0.021796000297867935,0.5885 ± 0.0218
log_loss,1.7648669258305563,0.03772384857358011,1.7649 ± 0.0377
