,TopoGAT,GAT
accuracy,0.2288 ± 0.0394,0.3358 ± 0.0414
precision,0.1995 ± 0.0509,0.3409 ± 0.0505
recall,0.2378 ± 0.0288,0.3361 ± 0.0413
f1,0.1815 ± 0.0396,0.3215 ± 0.0448
roc_auc,0.5885 ± 0.0218,0.6821 ± 0.0243
log_loss,1.7649 ± 0.0377,1.7892 ± 0.1059
