,mean,std,summary
accuracy,0.3358333333333333,0.04136734593784717,0.3358 ± 0.0414
precision,0.3408868427688009,0.05047820162242256,0.3409 ± 0.0505
recall,0.33605505313478057,0.04131469931127687,0.3361 ± 0.0413
f1,0.3214930098655979,0.044828795396559686,0.3215 ± 0.0448
roc_auc,0.6821189780967726,0.024255971033390642,0.6821 ± 0.0243
log_loss,1.7892317440490888,0.10587265907931502,1.7892 ± 0.1059
