,mean,std,summary
accuracy,0.5753623188405798,0.047743960182083565,0.5754 ± 0.0477
precision,0.5922768264411055,0.08381620942426914,0.5923 ± 0.0838
recall,0.5541398952381861,0.04405610806377832,0.5541 ± 0.0441
f1,0.5196177126196947,0.05649100915974973,0.5196 ± 0.0565
roc_auc,0.5755649946747882,0.0712726399416021,0.5756 ± 0.0713
log_loss,0.7740950016258761,0.1193527573785663,0.7741 ± 0.1194
