,TopoGAT,GAT
accuracy,0.8289 ± 0.0636,0.7513 ± 0.0696
precision,0.8307 ± 0.0743,0.7366 ± 0.0858
recall,0.7941 ± 0.0723,0.6824 ± 0.0750
f1,0.7980 ± 0.0756,0.6865 ± 0.0836
roc_auc,0.9333 ± 0.0373,0.7972 ± 0.0514
log_loss,0.3555 ± 0.1122,0.5278 ± 0.0789
