,TopoGAT,GAT
accuracy,0.5725 ± 0.0450,0.5442 ± 0.0596
precision,0.5867 ± 0.0687,0.5736 ± 0.1140
recall,0.5536 ± 0.0348,0.5145 ± 0.0474
f1,0.5182 ± 0.0511,0.4486 ± 0.0640
roc_auc,0.5700 ± 0.0661,0.5454 ± 0.0708
log_loss,0.7684 ± 0.0965,0.6944 ± 0.0363
