,mean,std,summary
accuracy,0.5442028985507246,0.05956522667082318,0.5442 ± 0.0596
precision,0.5735911784465509,0.11396823130729161,0.5736 ± 0.1140
recall,0.5144947373355763,0.047445304640173026,0.5145 ± 0.0474
f1,0.44855264979806553,0.06404010679107967,0.4486 ± 0.0640
roc_auc,0.5453862991590788,0.07083253382657652,0.5454 ± 0.0708
log_loss,0.6943708873635064,0.03634709279457635,0.6944 ± 0.0363
