,TopoGAT,GAT
accuracy,0.2400 ± 0.0361,0.2046 ± 0.0454
precision,0.2649 ± 0.0730,0.1680 ± 0.0616
recall,0.2474 ± 0.0355,0.2171 ± 0.0375
f1,0.2025 ± 0.0371,0.1510 ± 0.0405
roc_auc,0.6034 ± 0.0290,0.5666 ± 0.0188
log_loss,1.7720 ± 0.0462,1.7890 ± 0.0404
