,mean,std,summary
accuracy,0.24,0.03613247231446466,0.2400 ± 0.0361
precision,0.264893572934447,0.07297060378291664,0.2649 ± 0.0730
recall,0.24738764537775282,0.03545110921843388,0.2474 ± 0.0355
f1,0.2024928225369289,0.03713491098000216,0.2025 ± 0.0371
roc_auc,0.6033908808187183,0.028958557315658384,0.6034 ± 0.0290
log_loss,1.7719563464583779,0.04624972177799477,1.7720 ± 0.0462
