,TopoGAT,GAT
accuracy,0.2358 ± 0.0410,0.2004 ± 0.0350
precision,0.2059 ± 0.0616,0.1485 ± 0.0414
recall,0.2420 ± 0.0358,0.2140 ± 0.0330
f1,0.1886 ± 0.0430,0.1456 ± 0.0298
roc_auc,0.6000 ± 0.0224,0.5623 ± 0.0196
log_loss,1.7550 ± 0.0370,1.7856 ± 0.0320
