,TopoGAT,GAT
accuracy,0.7099 ± 0.0395,0.7058 ± 0.0291
precision,0.7218 ± 0.0455,0.6931 ± 0.0409
recall,0.6622 ± 0.0288,0.6756 ± 0.0366
f1,0.6613 ± 0.0374,0.6771 ± 0.0374
roc_auc,0.7169 ± 0.0400,0.7209 ± 0.0403
log_loss,0.5886 ± 0.0295,0.6061 ± 0.0309
