,TopoGAT,GAT
accuracy,0.7121 ± 0.0282,0.7025 ± 0.0308
precision,0.7179 ± 0.0461,0.6920 ± 0.0430
recall,0.6629 ± 0.0357,0.6733 ± 0.0308
f1,0.6634 ± 0.0404,0.6747 ± 0.0332
roc_auc,0.7087 ± 0.0389,0.7203 ± 0.0344
log_loss,0.5966 ± 0.0334,0.6076 ± 0.0323
