,mean,std,summary
accuracy,0.7024663677130045,0.0308382312451193,0.7025 ± 0.0308
precision,0.6919665383557372,0.0429656737363047,0.6920 ± 0.0430
recall,0.6733276785457869,0.03077445687124061,0.6733 ± 0.0308
f1,0.6746654982332742,0.03320744105437272,0.6747 ± 0.0332
roc_auc,0.7202926348485776,0.034358152030111055,0.7203 ± 0.0344
log_loss,0.6076372032929946,0.03229521985491908,0.6076 ± 0.0323
