,TopoGAT,GAT
accuracy,0.2738 ± 0.0371,0.3371 ± 0.0482
precision,0.2873 ± 0.0531,0.3550 ± 0.0565
recall,0.2787 ± 0.0340,0.3382 ± 0.0451
f1,0.2486 ± 0.0357,0.3283 ± 0.0464
roc_auc,0.6293 ± 0.0261,0.6887 ± 0.0260
log_loss,1.7470 ± 0.0580,1.7631 ± 0.1236
