,mean,std,summary
accuracy,0.27375000000000005,0.037098237690840266,0.2738 ± 0.0371
precision,0.28732554286450873,0.053121493041072713,0.2873 ± 0.0531
recall,0.2786540916303909,0.034006480294517756,0.2787 ± 0.0340
f1,0.24860078587699785,0.03565851048547924,0.2486 ± 0.0357
roc_auc,0.6292980177444092,0.02611378264945808,0.6293 ± 0.0261
log_loss,1.747025755733538,0.05799932081017782,1.7470 ± 0.0580
