,mean,std,summary
accuracy,0.7179372197309417,0.02540458158741901,0.7179 ± 0.0254
precision,0.7254495040120209,0.045311813253461584,0.7254 ± 0.0453
recall,0.6683963324539692,0.031049712138720736,0.6684 ± 0.0310
f1,0.6705623836785117,0.0322831742419655,0.6706 ± 0.0323
roc_auc,0.717131219034638,0.03470095105764705,0.7171 ± 0.0347
log_loss,0.5862760116525034,0.0277596813460435,0.5863 ± 0.0278
