,TopoGAT,GAT
accuracy,0.7179 ± 0.0254,0.6448 ± 0.0253
precision,0.7254 ± 0.0453,0.6316 ± 0.0413
recall,0.6684 ± 0.0310,0.5790 ± 0.0256
f1,0.6706 ± 0.0323,0.5613 ± 0.0418
roc_auc,0.7171 ± 0.0347,0.5466 ± 0.0409
log_loss,0.5863 ± 0.0278,0.6545 ± 0.0136
