,TopoGAT,GAT
accuracy,0.7934 ± 0.0721,0.7513 ± 0.0680
precision,0.7902 ± 0.0912,0.7369 ± 0.0896
recall,0.7421 ± 0.0951,0.6817 ± 0.0660
f1,0.7441 ± 0.0961,0.6886 ± 0.0774
roc_auc,0.8928 ± 0.0571,0.7973 ± 0.0536
log_loss,0.4182 ± 0.1143,0.5273 ± 0.0813
