,mean,std,summary
accuracy,0.7513157894736842,0.06802302724092542,0.7513 ± 0.0680
precision,0.7369198179192271,0.08955012993417297,0.7369 ± 0.0896
recall,0.6816631518554693,0.06595238631933764,0.6817 ± 0.0660
f1,0.688561497321796,0.07739401081754343,0.6886 ± 0.0774
roc_auc,0.7972941220727099,0.05361306135354468,0.7973 ± 0.0536
log_loss,0.5273313460574014,0.08132888340316743,0.5273 ± 0.0813
