,TopoGAT,GAT
accuracy,0.8053 ± 0.0618,0.7474 ± 0.0612
precision,0.8050 ± 0.0837,0.7475 ± 0.0848
recall,0.7587 ± 0.0814,0.6746 ± 0.0662
f1,0.7606 ± 0.0884,0.6757 ± 0.0803
roc_auc,0.9038 ± 0.0485,0.7966 ± 0.0519
log_loss,0.4009 ± 0.0968,0.5282 ± 0.0786
