,mean,std,summary
accuracy,0.7578947368421052,0.0653587005052833,0.7579 ± 0.0654
precision,0.7538622710975571,0.08667187712484396,0.7539 ± 0.0867
recall,0.689280392458004,0.07055839983911595,0.6893 ± 0.0706
f1,0.6934367978985752,0.07909173464898943,0.6934 ± 0.0791
roc_auc,0.7951453592680139,0.05254720907881351,0.7951 ± 0.0525
log_loss,0.534449827729613,0.08386076715668445,0.5344 ± 0.0839
