,TopoGAT,GAT
accuracy,0.8382 ± 0.0574,0.7579 ± 0.0654
precision,0.8453 ± 0.0604,0.7539 ± 0.0867
recall,0.7950 ± 0.0803,0.6893 ± 0.0706
f1,0.8023 ± 0.0755,0.6934 ± 0.0791
roc_auc,0.9247 ± 0.0352,0.7951 ± 0.0525
log_loss,0.3593 ± 0.0822,0.5344 ± 0.0839
