,TopoGAT,GAT
accuracy,0.2363 ± 0.0451,0.3213 ± 0.0437
precision,0.2405 ± 0.1089,0.3296 ± 0.0428
recall,0.2432 ± 0.0435,0.3205 ± 0.0457
f1,0.1969 ± 0.0519,0.3083 ± 0.0407
roc_auc,0.6077 ± 0.0291,0.6761 ± 0.0293
log_loss,1.7589 ± 0.0435,1.7738 ± 0.0829
