,mean,std,summary
accuracy,0.32125000000000004,0.04371918296428157,0.3213 ± 0.0437
precision,0.3295703921499423,0.04278579054382694,0.3296 ± 0.0428
recall,0.32053620514377024,0.045723430817792544,0.3205 ± 0.0457
f1,0.30825940701226695,0.04071454596492024,0.3083 ± 0.0407
roc_auc,0.6760623576368308,0.02934028424953809,0.6761 ± 0.0293
log_loss,1.773784681232959,0.0828996663046012,1.7738 ± 0.0829
