,mean,std,summary
accuracy,0.7123318385650224,0.02058954287062332,0.7123 ± 0.0206
precision,0.7218306272546464,0.03752197444429338,0.7218 ± 0.0375
recall,0.6602888276153178,0.029203989537459087,0.6603 ± 0.0292
f1,0.6602521838627492,0.03281887525712305,0.6603 ± 0.0328
roc_auc,0.6817235664650081,0.0656008706486008,0.6817 ± 0.0656
log_loss,0.5949978394913448,0.03198996860545252,0.5950 ± 0.0320
