,TopoGAT,GAT
accuracy,0.7123 ± 0.0206,0.6908 ± 0.0387
precision,0.7218 ± 0.0375,0.6649 ± 0.0973
recall,0.6603 ± 0.0292,0.6544 ± 0.0493
f1,0.6603 ± 0.0328,0.6488 ± 0.0752
roc_auc,0.6817 ± 0.0656,0.7040 ± 0.0614
log_loss,0.5950 ± 0.0320,0.6149 ± 0.0324
