,TopoGAT,GAT
accuracy,0.5746 ± 0.0647,0.5203 ± 0.0683
precision,0.5886 ± 0.0822,0.4850 ± 0.0904
recall,0.5525 ± 0.0521,0.5085 ± 0.0510
f1,0.5190 ± 0.0674,0.4646 ± 0.0805
roc_auc,0.5640 ± 0.0561,0.5243 ± 0.0634
log_loss,0.7907 ± 0.1251,1.0348 ± 0.2142
