,TopoGAT,GAT
accuracy,0.8289 ± 0.0636,0.8566 ± 0.0576
precision,0.8307 ± 0.0743,0.8441 ± 0.0632
recall,0.7941 ± 0.0723,0.8396 ± 0.0704
f1,0.7980 ± 0.0756,0.8354 ± 0.0673
roc_auc,0.9333 ± 0.0373,0.9321 ± 0.0401
log_loss,0.3555 ± 0.1122,0.3549 ± 0.1516
