,TopoGAT,GAT
accuracy,0.7934 ± 0.0721,0.8474 ± 0.0631
precision,0.7902 ± 0.0912,0.8369 ± 0.0720
recall,0.7421 ± 0.0951,0.8301 ± 0.0710
f1,0.7441 ± 0.0961,0.8262 ± 0.0699
roc_auc,0.8928 ± 0.0571,0.9352 ± 0.0436
log_loss,0.4182 ± 0.1143,0.3368 ± 0.1306
