,mean,std,summary
accuracy,0.8473684210526315,0.0630886046504442,0.8474 ± 0.0631
precision,0.836869048211908,0.07197132258952764,0.8369 ± 0.0720
recall,0.8300973072313083,0.07096285549812584,0.8301 ± 0.0710
f1,0.826198178506646,0.06993973044236644,0.8262 ± 0.0699
roc_auc,0.9352216764247698,0.04362182906077688,0.9352 ± 0.0436
log_loss,0.3367905785456486,0.13055124802380214,0.3368 ± 0.1306
