,TopoGAT,GAT
accuracy,0.7090 ± 0.0273,0.6417 ± 0.0215
precision,0.7190 ± 0.0514,0.6282 ± 0.0522
recall,0.6613 ± 0.0313,0.5801 ± 0.0280
f1,0.6609 ± 0.0345,0.5654 ± 0.0326
roc_auc,0.7072 ± 0.0411,0.5458 ± 0.0430
log_loss,0.5986 ± 0.0357,0.6583 ± 0.0122
