,mean,std,summary
accuracy,0.7089686098654708,0.027292477926114764,0.7090 ± 0.0273
precision,0.7189874917209049,0.051384496403904516,0.7190 ± 0.0514
recall,0.6612751162792757,0.03127370612467874,0.6613 ± 0.0313
f1,0.6608573098289905,0.03454834302785772,0.6609 ± 0.0345
roc_auc,0.7071913199783716,0.041137568172290695,0.7072 ± 0.0411
log_loss,0.5985516775957441,0.03571140257175131,0.5986 ± 0.0357
