,TopoGAT,GAT
accuracy,0.2688 ± 0.0305,0.2012 ± 0.0319
precision,0.2754 ± 0.0487,0.1659 ± 0.0627
recall,0.2682 ± 0.0297,0.2153 ± 0.0248
f1,0.2344 ± 0.0362,0.1448 ± 0.0284
roc_auc,0.6204 ± 0.0263,0.5635 ± 0.0242
log_loss,1.7562 ± 0.0548,1.7814 ± 0.0300
