,TopoGAT,GAT
accuracy,0.5725 ± 0.0450,0.5399 ± 0.0624
precision,0.5867 ± 0.0687,0.5076 ± 0.1183
recall,0.5536 ± 0.0348,0.5221 ± 0.0591
f1,0.5182 ± 0.0511,0.4869 ± 0.0883
roc_auc,0.5700 ± 0.0661,0.5335 ± 0.0793
log_loss,0.7684 ± 0.0965,0.9765 ± 0.2695
