,TopoGAT,GAT
accuracy,0.5819 ± 0.0514,0.5522 ± 0.0497
precision,0.5924 ± 0.0704,0.5900 ± 0.1103
recall,0.5570 ± 0.0395,0.5242 ± 0.0372
f1,0.5250 ± 0.0561,0.4555 ± 0.0616
roc_auc,0.5646 ± 0.0586,0.5511 ± 0.0683
log_loss,0.7897 ± 0.1236,0.6951 ± 0.0417
