,mean,std,summary
accuracy,0.8565789473684212,0.04635339067992631,0.8566 ± 0.0464
precision,0.8396727618195008,0.05307959617148396,0.8397 ± 0.0531
recall,0.84953459903574,0.05329412349816027,0.8495 ± 0.0533
f1,0.8401003317478708,0.051442987920112544,0.8401 ± 0.0514
roc_auc,0.9398746593867028,0.03433782606368854,0.9399 ± 0.0343
log_loss,0.31707653681816794,0.09887596095318622,0.3171 ± 0.0989
