,TopoGAT,GAT
accuracy,0.8382 ± 0.0574,0.8566 ± 0.0464
precision,0.8453 ± 0.0604,0.8397 ± 0.0531
recall,0.7950 ± 0.0803,0.8495 ± 0.0533
f1,0.8023 ± 0.0755,0.8401 ± 0.0514
roc_auc,0.9247 ± 0.0352,0.9399 ± 0.0343
log_loss,0.3593 ± 0.0822,0.3171 ± 0.0989
