,mean,std,summary
accuracy,0.8381578947368421,0.05744917947867488,0.8382 ± 0.0574
precision,0.84531318163713,0.060439829239050065,0.8453 ± 0.0604
recall,0.7950459453916605,0.08027561845341089,0.7950 ± 0.0803
f1,0.8023228377697892,0.07553168608453564,0.8023 ± 0.0755
roc_auc,0.9247046475189225,0.03520386402066967,0.9247 ± 0.0352
log_loss,0.35925454815998015,0.08221467766125391,0.3593 ± 0.0822
